k,destRegion,originRegion,migrations,originPop,destPop
0,Korea,SpanishSouthAmerica,0,198246902,74145711
1.82E-07,Korea,EasternEurope,2370,293323902,74145711
0,Korea,ArabicMiddleEast,0,129306537,74145711
0,Korea,Korea,0,74145711,74145711
0,Korea,ItalianEurope,0,66608219,74145711
0,Korea,SouthernAfrica,0,58410862.36,74145711
0,Korea,ArabicWestAfrica,0,3609543,74145711
0,Korea,Spain,0,46576897,74145711
6.10E-06,Korea,ChineseAsia,295367,1347978819,74145711
0,Korea,MiddleAfrica,0,107982268,74145711
0,Korea,TurkishMiddleEast,0,103089615,74145711
0,Korea,Madagascar,0,21151640,74145711
0,Korea,Tajikistan,0,7641630,74145711
0,Korea,PersianMiddleEast,0,103370678,74145711
0,Korea,CentralAmerica,0,160556595,74145711
0,Korea,Brazil,0,196796269,74145711
0,Korea,FrenchEurpoe,0,37094,74145711
2.27E-06,Korea,AustrailiaNewZealand,3722,26382450,74145711
2.69E-06,Korea,RussianAsia,8362,55419091,74145711
0,Korea,Caribbean,0,40878080,74145711
0,Korea,NordicCountries,0,32071316,74145711
2.18E-07,Korea,GermanEurope,1266,114616640,74145711
3.12E-07,Korea,FrenchEurope,1278,76430051,74145711
2.50E-06,Korea,USA,34147,309413317,74145711
0,Korea,BalkanPeninsula,0,27436867,74145711
0,Korea,Angola,0,23369131,74145711
0,Korea,Somalia,0,12053223,74145711
0,Madagascar,SouthernAfrica,0,58410862.36,21151640
0,Madagascar,Somalia,0,12053223,21151640
0,Madagascar,ArabicWestAfrica,0,3609543,21151640
2.40E-08,Madagascar,Korea,61,74145711,21151640
4.77E-06,Madagascar,FrenchEurope,12460,76430051,21151640
0,Madagascar,Portugal,0,10573100,21151640
2.02E-09,Madagascar,RussianAsia,4,55419091,21151640
8.28E-08,Madagascar,BritishIsles,194,67406592,21151640
1.38E-07,Madagascar,GermanEurope,509,114616640,21151640
5.04E-09,Madagascar,SoutheastAsia,77,595790239,21151640
2.26E-07,Madagascar,IndianSubcontinent,8091,1601926753,21151640
0,Madagascar,SpanishSouthAmerica,0,198246902,21151640
0,Madagascar,Brazil,0,196796269,21151640
1.60E-08,Madagascar,Japan,65,128070000,21151640
0,Madagascar,FrenchWestAfrica,0,304167444,21151640
8.07E-07,Madagascar,EastAfrica,7079,312744208,21151640
0,Madagascar,PersianMiddleEast,0,103370678,21151640
6.10E-07,Madagascar,NorthAfrica,3699,203829916,21151640
0,Madagascar,CentralAmerica,0,160556595,21151640
0,Madagascar,BalkanPeninsula,0,27436867,21151640
0,Madagascar,FrenchEurpoe,0,37094,21151640
2.62E-09,Madagascar,Caribbean,4,40878080,21151640
1.98E-08,Madagascar,EasternEurope,164,293323902,21151640
0,Madagascar,AustrailiaNewZealand,0,26382450,21151640
0,Madagascar,Angola,0,23369131,21151640
1.24E-07,Madagascar,ItalianEurope,288,66608219,21151640
1.02E-07,Madagascar,Canada,133,34005274,21151640
0,Madagascar,Spain,0,46576897,21151640
0,Madagascar,TurkishMiddleEast,0,103089615,21151640
1.11E-07,Madagascar,ChineseAsia,3417,1347978819,21151640
0,Madagascar,Madagascar,0,21151640,21151640
2.38E-08,Madagascar,USA,207,309413317,21151640
0,Madagascar,Tajikistan,0,7641630,21151640
0,Madagascar,NordicCountries,0,32071316,21151640
0,Madagascar,Melanesia,0,8982274,21151640
0,Madagascar,MiddleAfrica,0,107982268,21151640
0,Madagascar,ArabicMiddleEast,0,129306537,21151640
0,Melanesia,Portugal,0,10573100,8982274
0,Melanesia,EasternEurope,0,293323902,8982274
0,Melanesia,MiddleAfrica,0,107982268,8982274
1.59E-07,Melanesia,USA,1014,309413317,8982274
0,Melanesia,Tajikistan,0,7641630,8982274
0,Melanesia,NordicCountries,0,32071316,8982274
9.07E-08,Melanesia,FrenchEurope,174,76430051,8982274
3.03E-07,Melanesia,SoutheastAsia,3403,595790239,8982274
0,Melanesia,Canada,0,34005274,8982274
2.75E-05,Melanesia,AustrailiaNewZealand,21123,26382450,8982274
0,Melanesia,NorthAfrica,0,203829916,8982274
2.20E-06,Melanesia,BritishIsles,3786,67406592,8982274
3.53E-08,Melanesia,Korea,66,74145711,8982274
0,Melanesia,Brazil,0,196796269,8982274
0,Melanesia,Somalia,0,12053223,8982274
0,Melanesia,EastAfrica,0,312744208,8982274
0,Melanesia,CentralAmerica,0,160556595,8982274
3.87E-07,Melanesia,GermanEurope,1053,114616640,8982274
2.22E-07,Melanesia,IndianSubcontinent,5833,1601926753,8982274
0,Melanesia,Spain,0,46576897,8982274
0,Melanesia,RussianAsia,0,55419091,8982274
0,Melanesia,ArabicWestAfrica,0,3609543,8982274
0,Melanesia,PersianMiddleEast,0,103370678,8982274
0,Melanesia,FrenchWestAfrica,0,304167444,8982274
0,Melanesia,TurkishMiddleEast,0,103089615,8982274
3.38E-08,Melanesia,ChineseAsia,764,1347978819,8982274
0,Melanesia,SouthernAfrica,0,58410862.36,8982274
0,Melanesia,Caribbean,0,40878080,8982274
0,Melanesia,ArabicMiddleEast,0,129306537,8982274
0,Melanesia,FrenchEurpoe,0,37094,8982274
0,Melanesia,Madagascar,0,21151640,8982274
0,Melanesia,ItalianEurope,0,66608219,8982274
1.15E-07,Melanesia,Japan,343,128070000,8982274
0,Melanesia,Angola,0,23369131,8982274
0,Melanesia,BalkanPeninsula,0,27436867,8982274
0,Melanesia,SpanishSouthAmerica,0,198246902,8982274
0.000101903,Melanesia,Melanesia,30997,8982274,8982274
3.28E-08,MiddleAfrica,Caribbean,90,40878080,107982268
1.46E-08,MiddleAfrica,EastAfrica,230,312744208,107982268
0,MiddleAfrica,Korea,0,74145711,107982268
0,MiddleAfrica,IndianSubcontinent,0,1601926753,107982268
1.34E-06,MiddleAfrica,Portugal,1150,10573100,107982268
0,MiddleAfrica,TurkishMiddleEast,0,103089615,107982268
7.36E-06,MiddleAfrica,Angola,12478,23369131,107982268
1.89E-07,MiddleAfrica,Canada,443,34005274,107982268
2.79E-07,MiddleAfrica,Spain,855,46576897,107982268
8.54E-09,MiddleAfrica,BritishIsles,36,67406592,107982268
1.80E-08,MiddleAfrica,Madagascar,28,21151640,107982268
2.68E-10,MiddleAfrica,SouthernAfrica,1,58410862.36,107982268
0,MiddleAfrica,SoutheastAsia,0,595790239,107982268
0,MiddleAfrica,FrenchEurpoe,0,37094,107982268
3.43E-08,MiddleAfrica,ChineseAsia,1901,1347978819,107982268
2.99E-08,MiddleAfrica,USA,467,309413317,107982268
7.79E-05,MiddleAfrica,MiddleAfrica,492002,107982268,107982268
0,MiddleAfrica,SpanishSouthAmerica,0,198246902,107982268
2.62E-08,MiddleAfrica,GermanEurope,174,114616640,107982268
0,MiddleAfrica,CentralAmerica,0,160556595,107982268
0,MiddleAfrica,PersianMiddleEast,0,103370678,107982268
0,MiddleAfrica,Melanesia,0,8982274,107982268
0,MiddleAfrica,Brazil,0,196796269,107982268
2.46E-05,MiddleAfrica,FrenchWestAfrica,378380,304167444,107982268
3.72E-06,MiddleAfrica,ArabicWestAfrica,1266,3609543,107982268
0,MiddleAfrica,BalkanPeninsula,0,27436867,107982268
0,MiddleAfrica,ItalianEurope,0,66608219,107982268
1.21E-08,MiddleAfrica,NordicCountries,27,32071316,107982268
4.73E-06,MiddleAfrica,NorthAfrica,51622,203829916,107982268
0,MiddleAfrica,Japan,0,128070000,107982268
1.25E-08,MiddleAfrica,Somalia,12,12053223,107982268
8.17E-06,MiddleAfrica,FrenchEurope,38343,76430051,107982268
6.83E-08,MiddleAfrica,ArabicMiddleEast,504,129306537,107982268
2.31E-08,MiddleAfrica,Tajikistan,15,7641630,107982268
5.13E-08,MiddleAfrica,EasternEurope,766,293323902,107982268
3.88E-08,MiddleAfrica,RussianAsia,138,55419091,107982268
0,MiddleAfrica,AustrailiaNewZealand,0,26382450,107982268
1.06E-06,NordicCountries,Angola,1157,23369131,32071316
6.79E-07,NordicCountries,Madagascar,682,21151640,32071316
2.26E-06,NordicCountries,SouthernAfrica,5429,58410862.36,32071316
1.13E-05,NordicCountries,ItalianEurope,30486,66608219,32071316
1.58E-06,NordicCountries,Japan,7474,128070000,32071316
0.000391964,NordicCountries,NordicCountries,563260,32071316,32071316
8.35E-06,NordicCountries,FrenchEurope,25310,76430051,32071316
8.22E-06,NordicCountries,AustrailiaNewZealand,9987,26382450,32071316
2.07E-05,NordicCountries,RussianAsia,47569,55419091,32071316
4.57E-06,NordicCountries,EastAfrica,46582,312744208,32071316
9.71E-07,NordicCountries,MiddleAfrica,3965,107982268,32071316
5.89E-06,NordicCountries,NorthAfrica,41490,203829916,32071316
2.64E-06,NordicCountries,IndianSubcontinent,109793,1601926753,32071316
2.08E-06,NordicCountries,FrenchWestAfrica,20665,304167444,32071316
1.18E-06,NordicCountries,ChineseAsia,42240,1347978819,32071316
7.96E-06,NordicCountries,Canada,12025,34005274,32071316
2.20E-05,NordicCountries,ArabicMiddleEast,104800,129306537,32071316
3.07E-05,NordicCountries,PersianMiddleEast,120852,103370678,32071316
7.89E-05,NordicCountries,EasternEurope,760780,293323902,32071316
6.50E-05,NordicCountries,TurkishMiddleEast,255127,103089615,32071316
1.06E-05,NordicCountries,Korea,31405,74145711,32071316
0.000100853,NordicCountries,BalkanPeninsula,126724,27436867,32071316
1.46E-06,NordicCountries,Brazil,10014,196796269,32071316
1.25E-05,NordicCountries,SpanishSouthAmerica,86348,198246902,32071316
8.57E-05,NordicCountries,Somalia,53109,12053223,32071316
7.63E-06,NordicCountries,Spain,15104,46576897,32071316
3.60E-07,NordicCountries,ArabicWestAfrica,79,3609543,32071316
1.04E-05,NordicCountries,Portugal,5754,10573100,32071316
1.10E-05,NordicCountries,FrenchEurpoe,47,37094,32071316
4.68E-07,NordicCountries,Melanesia,225,8982274,32071316
7.70E-06,NordicCountries,SoutheastAsia,136463,595790239,32071316
1.87E-06,NordicCountries,CentralAmerica,10721,160556595,32071316
2.44E-05,NordicCountries,BritishIsles,66491,67406592,32071316
3.51E-05,NordicCountries,GermanEurope,150744,114616640,32071316
3.80E-06,NordicCountries,Caribbean,6735,40878080,32071316
5.81E-06,NordicCountries,USA,58685,309413317,32071316
9.76E-06,NordicCountries,Tajikistan,4085,7641630,32071316
2.07E-05,NorthAfrica,ArabicMiddleEast,191718,129306537,203829916
1.61E-07,NorthAfrica,EasternEurope,3014,293323902,203829916
2.29E-08,NorthAfrica,ChineseAsia,1594,1347978819,203829916
3.88E-05,NorthAfrica,NorthAfrica,531665,203829916,203829916
0,NorthAfrica,FrenchEurpoe,0,37094,203829916
3.60E-07,NorthAfrica,ArabicWestAfrica,154,3609543,203829916
2.06E-08,NorthAfrica,USA,405,309413317,203829916
0,NorthAfrica,SpanishSouthAmerica,0,198246902,203829916
1.10E-07,NorthAfrica,AustrailiaNewZealand,260,26382450,203829916
0,NorthAfrica,Madagascar,0,21151640,203829916
4.33E-08,NorthAfrica,Korea,249,74145711,203829916
1.89E-07,NorthAfrica,NordicCountries,528,32071316,203829916
4.78E-08,NorthAfrica,SouthernAfrica,224,58410862.36,203829916
1.97E-06,NorthAfrica,FrenchWestAfrica,38131,304167444,203829916
0,NorthAfrica,Caribbean,0,40878080,203829916
3.78E-08,NorthAfrica,Japan,348,128070000,203829916
0,NorthAfrica,Portugal,0,10573100,203829916
3.17E-06,NorthAfrica,TurkishMiddleEast,24224,103089615,203829916
0,NorthAfrica,CentralAmerica,0,160556595,203829916
0,NorthAfrica,Angola,0,23369131,203829916
0,NorthAfrica,PersianMiddleEast,0,103370678,203829916
3.36E-07,NorthAfrica,Canada,988,34005274,203829916
4.83E-07,NorthAfrica,GermanEurope,4041,114616640,203829916
6.51E-08,NorthAfrica,Spain,251,46576897,203829916
7.96E-08,NorthAfrica,IndianSubcontinent,6431,1601926753,203829916
0,NorthAfrica,Tajikistan,0,7641630,203829916
6.23E-08,NorthAfrica,RussianAsia,279,55419091,203829916
0,NorthAfrica,Melanesia,0,8982274,203829916
9.41E-07,NorthAfrica,FrenchEurope,5551,76430051,203829916
7.49E-06,NorthAfrica,MiddleAfrica,59468,107982268,203829916
1.06E-07,NorthAfrica,BritishIsles,561,67406592,203829916
3.10E-05,NorthAfrica,EastAfrica,614231,312744208,203829916
0,NorthAfrica,Brazil,0,196796269,203829916
3.20E-05,NorthAfrica,Somalia,38531,12053223,203829916
3.71E-07,NorthAfrica,BalkanPeninsula,908,27436867,203829916
7.17E-07,NorthAfrica,ItalianEurope,3757,66608219,203829916
2.62E-07,NorthAfrica,SoutheastAsia,9042,595790239,203829916
0,PersianMiddleEast,EasternEurope,0,293323902,103370678
0,PersianMiddleEast,CentralAmerica,0,160556595,103370678
0,PersianMiddleEast,FrenchEurope,0,76430051,103370678
0,PersianMiddleEast,NordicCountries,0,32071316,103370678
0,PersianMiddleEast,Brazil,0,196796269,103370678
0,PersianMiddleEast,Canada,0,34005274,103370678
1.63E-07,PersianMiddleEast,RussianAsia,570,55419091,103370678
0,PersianMiddleEast,EastAfrica,0,312744208,103370678
0,PersianMiddleEast,FrenchWestAfrica,0,304167444,103370678
6.37E-05,PersianMiddleEast,TurkishMiddleEast,380926,103089615,103370678
0,PersianMiddleEast,AustrailiaNewZealand,0,26382450,103370678
0,PersianMiddleEast,BritishIsles,0,67406592,103370678
0,PersianMiddleEast,MiddleAfrica,0,107982268,103370678
0,PersianMiddleEast,Japan,0,128070000,103370678
0,PersianMiddleEast,Korea,0,74145711,103370678
2.96E-07,PersianMiddleEast,IndianSubcontinent,18720,1601926753,103370678
0,PersianMiddleEast,USA,0,309413317,103370678
0,PersianMiddleEast,FrenchEurpoe,0,37094,103370678
0.000284417,PersianMiddleEast,PersianMiddleEast,1704199,103370678,103370678
4.86E-07,PersianMiddleEast,ArabicMiddleEast,3530,129306537,103370678
0,PersianMiddleEast,Portugal,0,10573100,103370678
0,PersianMiddleEast,Tajikistan,0,7641630,103370678
0,PersianMiddleEast,SouthernAfrica,0,58410862.36,103370678
0,PersianMiddleEast,Madagascar,0,21151640,103370678
0,PersianMiddleEast,Spain,0,46576897,103370678
0,PersianMiddleEast,ItalianEurope,0,66608219,103370678
0,PersianMiddleEast,SoutheastAsia,0,595790239,103370678
0,PersianMiddleEast,BalkanPeninsula,0,27436867,103370678
0,PersianMiddleEast,Caribbean,0,40878080,103370678
0,PersianMiddleEast,ChineseAsia,0,1347978819,103370678
0,PersianMiddleEast,Somalia,0,12053223,103370678
0,PersianMiddleEast,Angola,0,23369131,103370678
0,PersianMiddleEast,NorthAfrica,0,203829916,103370678
0,PersianMiddleEast,SpanishSouthAmerica,0,198246902,103370678
0,PersianMiddleEast,ArabicWestAfrica,0,3609543,103370678
0,PersianMiddleEast,GermanEurope,0,114616640,103370678
0,PersianMiddleEast,Melanesia,0,8982274,103370678
1.24E-08,Portugal,Melanesia,4,8982274,10573100
1.61E-05,Portugal,EastAfrica,110266,312744208,10573100
6.63E-07,Portugal,Caribbean,787,40878080,10573100
0,Portugal,FrenchEurpoe,0,37094,10573100
1.25E-07,Portugal,Japan,395,128070000,10573100
1.57E-06,Portugal,USA,10619,309413317,10573100
9.78E-08,Portugal,PersianMiddleEast,258,103370678,10573100
8.38E-06,Portugal,MiddleAfrica,22930,107982268,10573100
3.26E-07,Portugal,SoutheastAsia,3882,595790239,10573100
7.04E-05,Portugal,FrenchEurope,143087,76430051,10573100
1.60E-07,Portugal,CentralAmerica,617,160556595,10573100
2.15E-06,Portugal,AustrailiaNewZealand,1749,26382450,10573100
0,Portugal,Portugal,0,10573100,10573100
3.20E-06,Portugal,NordicCountries,3081,32071316,10573100
1.53E-05,Portugal,Brazil,70350,196796269,10573100
1.48E-05,Portugal,Spain,19693,46576897,10573100
1.01E-05,Portugal,SouthernAfrica,16259,58410862.36,10573100
1.43E-05,Portugal,FrenchWestAfrica,95634,304167444,10573100
3.09E-07,Portugal,ChineseAsia,7426,1347978819,10573100
8.19E-06,Portugal,BritishIsles,14949,67406592,10573100
1.10E-06,Portugal,BalkanPeninsula,925,27436867,10573100
2.99E-07,Portugal,ArabicWestAfrica,44,3609543,10573100
1.08E-07,Portugal,RussianAsia,166,55419091,10573100
7.52E-06,Portugal,SpanishSouthAmerica,34704,198246902,10573100
5.65E-08,Portugal,Korea,112,74145711,10573100
5.16E-07,Portugal,NorthAfrica,2438,203829916,10573100
1.63E-06,Portugal,ItalianEurope,2950,66608219,10573100
3.56E-09,Portugal,Tajikistan,1,7641630,10573100
3.96E-07,Portugal,IndianSubcontinent,11020,1601926753,10573100
0.000334635,Portugal,Angola,245650,23369131,10573100
4.50E-06,Portugal,EasternEurope,29071,293323902,10573100
1.02E-05,Portugal,Canada,10330,34005274,10573100
1.93E-08,Portugal,Somalia,8,12053223,10573100
7.57E-08,Portugal,Madagascar,51,21151640,10573100
2.00E-05,Portugal,GermanEurope,57568,114616640,10573100
8.63E-08,Portugal,TurkishMiddleEast,227,103089615,10573100
2.39E-07,Portugal,ArabicMiddleEast,764,129306537,10573100
0,RussianAsia,FrenchEurope,0,76430051,55419091
0,RussianAsia,Japan,0,128070000,55419091
0,RussianAsia,Portugal,0,10573100,55419091
0,RussianAsia,FrenchEurpoe,0,37094,55419091
0,RussianAsia,Spain,0,46576897,55419091
0,RussianAsia,Korea,0,74145711,55419091
0,RussianAsia,SpanishSouthAmerica,0,198246902,55419091
3.01E-07,RussianAsia,PersianMiddleEast,1442,103370678,55419091
0,RussianAsia,USA,0,309413317,55419091
0,RussianAsia,FrenchWestAfrica,0,304167444,55419091
0,RussianAsia,NorthAfrica,0,203829916,55419091
0,RussianAsia,MiddleAfrica,0,107982268,55419091
0.000269169,RussianAsia,EasternEurope,3159807,293323902,55419091
0,RussianAsia,AustrailiaNewZealand,0,26382450,55419091
3.99E-08,RussianAsia,ChineseAsia,1740,1347978819,55419091
8.91E-06,RussianAsia,TurkishMiddleEast,42577,103089615,55419091
0,RussianAsia,EastAfrica,0,312744208,55419091
0,RussianAsia,Caribbean,0,40878080,55419091
0,RussianAsia,CentralAmerica,0,160556595,55419091
1.10E-05,RussianAsia,ArabicMiddleEast,64056,129306537,55419091
0,RussianAsia,Madagascar,0,21151640,55419091
0,RussianAsia,Canada,0,34005274,55419091
0,RussianAsia,BritishIsles,0,67406592,55419091
3.04E-06,RussianAsia,NordicCountries,5319,32071316,55419091
0,RussianAsia,IndianSubcontinent,0,1601926753,55419091
0,RussianAsia,Melanesia,0,8982274,55419091
0,RussianAsia,Somalia,0,12053223,55419091
0.000484596,RussianAsia,Tajikistan,246966,7641630,55419091
3.42E-05,RussianAsia,GermanEurope,178791,114616640,55419091
0,RussianAsia,ArabicWestAfrica,0,3609543,55419091
0,RussianAsia,Brazil,0,196796269,55419091
0,RussianAsia,Angola,0,23369131,55419091
0.000213459,RussianAsia,RussianAsia,597833,55419091,55419091
0,RussianAsia,ItalianEurope,0,66608219,55419091
0,RussianAsia,SoutheastAsia,0,595790239,55419091
4.13E-06,RussianAsia,BalkanPeninsula,6313,27436867,55419091
0,RussianAsia,SouthernAfrica,0,58410862.36,55419091
0,Somalia,IndianSubcontinent,0,1601926753,12053223
0,Somalia,Canada,0,34005274,12053223
0,Somalia,FrenchEurope,0,76430051,12053223
0,Somalia,BritishIsles,0,67406592,12053223
0,Somalia,NordicCountries,0,32071316,12053223
0,Somalia,CentralAmerica,0,160556595,12053223
0,Somalia,ChineseAsia,0,1347978819,12053223
0,Somalia,Portugal,0,10573100,12053223
0,Somalia,Madagascar,0,21151640,12053223
0,Somalia,AustrailiaNewZealand,0,26382450,12053223
0,Somalia,TurkishMiddleEast,0,103089615,12053223
0,Somalia,ItalianEurope,0,66608219,12053223
0,Somalia,ArabicWestAfrica,0,3609543,12053223
0,Somalia,USA,0,309413317,12053223
0,Somalia,PersianMiddleEast,0,103370678,12053223
0,Somalia,Tajikistan,0,7641630,12053223
0,Somalia,FrenchEurpoe,0,37094,12053223
0,Somalia,FrenchWestAfrica,0,304167444,12053223
0,Somalia,Caribbean,0,40878080,12053223
0,Somalia,EastAfrica,0,312744208,12053223
0,Somalia,RussianAsia,0,55419091,12053223
0,Somalia,Brazil,0,196796269,12053223
0,Somalia,Korea,0,74145711,12053223
0,Somalia,SpanishSouthAmerica,0,198246902,12053223
0,Somalia,SoutheastAsia,0,595790239,12053223
0,Somalia,SouthernAfrica,0,58410862.36,12053223
0,Somalia,Spain,0,46576897,12053223
0,Somalia,Angola,0,23369131,12053223
0,Somalia,Melanesia,0,8982274,12053223
0,Somalia,GermanEurope,0,114616640,12053223
0,Somalia,Somalia,0,12053223,12053223
0,Somalia,Japan,0,128070000,12053223
0,Somalia,ArabicMiddleEast,0,129306537,12053223
0,Somalia,MiddleAfrica,0,107982268,12053223
0,Somalia,BalkanPeninsula,0,27436867,12053223
0,Somalia,NorthAfrica,0,203829916,12053223
0,Somalia,EasternEurope,0,293323902,12053223
7.82E-05,SoutheastAsia,SoutheastAsia,3969085,595790239,595790239
2.49E-08,SoutheastAsia,FrenchWestAfrica,710,304167444,595790239
0,SoutheastAsia,MiddleAfrica,0,107982268,595790239
7.18E-06,SoutheastAsia,AustrailiaNewZealand,24984,26382450,595790239
1.24E-07,SoutheastAsia,SpanishSouthAmerica,2445,198246902,595790239
1.15E-05,SoutheastAsia,ChineseAsia,1177235,1347978819,595790239
1.66E-08,SoutheastAsia,EastAfrica,485,312744208,595790239
8.48E-08,SoutheastAsia,BalkanPeninsula,305,27436867,595790239
7.54E-07,SoutheastAsia,Korea,6382,74145711,595790239
2.64E-07,SoutheastAsia,Brazil,5162,196796269,595790239
7.36E-07,SoutheastAsia,FrenchEurope,6394,76430051,595790239
5.19E-06,SoutheastAsia,IndianSubcontinent,617222,1601926753,595790239
7.32E-08,SoutheastAsia,EasternEurope,2021,293323902,595790239
0,SoutheastAsia,ArabicWestAfrica,0,3609543,595790239
1.42E-06,SoutheastAsia,Canada,6134,34005274,595790239
7.73E-08,SoutheastAsia,NorthAfrica,1560,203829916,595790239
1.00E-06,SoutheastAsia,Angola,3141,23369131,595790239
2.76E-09,SoutheastAsia,TurkishMiddleEast,31,103089615,595790239
3.04E-07,SoutheastAsia,Portugal,482,10573100,595790239
1.67E-09,SoutheastAsia,Tajikistan,2,7641630,595790239
4.04E-06,SoutheastAsia,Japan,54641,128070000,595790239
1.94E-07,SoutheastAsia,PersianMiddleEast,2188,103370678,595790239
9.63E-06,SoutheastAsia,BritishIsles,75020,67406592,595790239
1.31E-06,SoutheastAsia,GermanEurope,16138,114616640,595790239
0,SoutheastAsia,Somalia,0,12053223,595790239
2.37E-06,SoutheastAsia,USA,68404,309413317,595790239
1.72E-06,SoutheastAsia,Caribbean,8710,40878080,595790239
3.80E-09,SoutheastAsia,RussianAsia,25,55419091,595790239
2.03E-06,SoutheastAsia,NordicCountries,8364,32071316,595790239
4.95E-07,SoutheastAsia,ItalianEurope,3821,66608219,595790239
4.17E-08,SoutheastAsia,CentralAmerica,685,160556595,595790239
0,SoutheastAsia,Madagascar,0,21151640,595790239
0,SoutheastAsia,SouthernAfrica,0,58410862.36,595790239
1.83E-08,SoutheastAsia,Spain,104,46576897,595790239
9.06E-07,SoutheastAsia,ArabicMiddleEast,12361,129306537,595790239
1.24E-05,SoutheastAsia,FrenchEurpoe,152,37094,595790239
3.81E-07,SoutheastAsia,Melanesia,525,8982274,595790239
0,SouthernAfrica,Brazil,0,196796269,58410862.36
0,SouthernAfrica,BalkanPeninsula,0,27436867,58410862.36
0,SouthernAfrica,ItalianEurope,0,66608219,58410862.36
0,SouthernAfrica,NorthAfrica,0,203829916,58410862.36
0,SouthernAfrica,NordicCountries,0,32071316,58410862.36
0,SouthernAfrica,BritishIsles,0,67406592,58410862.36
0,SouthernAfrica,Melanesia,0,8982274,58410862.36
0,SouthernAfrica,SoutheastAsia,0,595790239,58410862.36
0,SouthernAfrica,USA,0,309413317,58410862.36
0,SouthernAfrica,TurkishMiddleEast,0,103089615,58410862.36
0,SouthernAfrica,CentralAmerica,0,160556595,58410862.36
0,SouthernAfrica,Korea,0,74145711,58410862.36
0,SouthernAfrica,Madagascar,0,21151640,58410862.36
0,SouthernAfrica,Caribbean,0,40878080,58410862.36
0.000107972,SouthernAfrica,EastAfrica,1364936,312744208,58410862.36
0,SouthernAfrica,Spain,0,46576897,58410862.36
0,SouthernAfrica,SpanishSouthAmerica,0,198246902,58410862.36
0,SouthernAfrica,GermanEurope,0,114616640,58410862.36
0,SouthernAfrica,Portugal,0,10573100,58410862.36
0,SouthernAfrica,MiddleAfrica,0,107982268,58410862.36
0,SouthernAfrica,ArabicMiddleEast,0,129306537,58410862.36
0,SouthernAfrica,ChineseAsia,0,1347978819,58410862.36
0,SouthernAfrica,Canada,0,34005274,58410862.36
0,SouthernAfrica,EasternEurope,0,293323902,58410862.36
0,SouthernAfrica,Tajikistan,0,7641630,58410862.36
0,SouthernAfrica,FrenchWestAfrica,0,304167444,58410862.36
0,SouthernAfrica,PersianMiddleEast,0,103370678,58410862.36
0,SouthernAfrica,ArabicWestAfrica,0,3609543,58410862.36
0,SouthernAfrica,Japan,0,128070000,58410862.36
0.000194187,SouthernAfrica,SouthernAfrica,579885,58410862.36,58410862.36
0,SouthernAfrica,FrenchEurpoe,0,37094,58410862.36
0,SouthernAfrica,Somalia,0,12053223,58410862.36
0,SouthernAfrica,IndianSubcontinent,0,1601926753,58410862.36
0,SouthernAfrica,FrenchEurope,0,76430051,58410862.36
0,SouthernAfrica,RussianAsia,0,55419091,58410862.36
4.97E-05,SouthernAfrica,Angola,67541,23369131,58410862.36
2.10E-06,SouthernAfrica,AustrailiaNewZealand,3171,26382450,58410862.36
7.56E-06,Spain,MiddleAfrica,35316,107982268,46576897
2.05E-06,Spain,IndianSubcontinent,97561,1601926753,46576897
0,Spain,Spain,0,46576897,46576897
3.17E-05,Spain,ItalianEurope,97637,66608219,46576897
1.15E-06,Spain,Japan,6224,128070000,46576897
0.000137549,Spain,BritishIsles,428236,67406592,46576897
3.71E-06,Spain,Angola,4646,23369131,46576897
1.10E-06,Spain,Korea,3718,74145711,46576897
3.53E-06,Spain,ChineseAsia,144303,1347978819,46576897
1.03E-05,Spain,BalkanPeninsula,14865,27436867,46576897
3.72E-06,Spain,Canada,6429,34005274,46576897
6.18E-07,Spain,Somalia,438,12053223,46576897
3.35E-06,Spain,USA,38712,309413317,46576897
0.000105562,Spain,NorthAfrica,851175,203829916,46576897
2.07E-05,Spain,Brazil,162205,196796269,46576897
7.61E-06,Spain,ArabicMiddleEast,41497,129306537,46576897
4.14E-07,Spain,Melanesia,228,8982274,46576897
1.02E-06,Spain,SouthernAfrica,2819,58410862.36,46576897
4.34E-05,Spain,ArabicWestAfrica,10888,3609543,46576897
2.25E-06,Spain,SoutheastAsia,45664,595790239,46576897
5.17E-07,Spain,Madagascar,594,21151640,46576897
0.000104299,Spain,FrenchEurpoe,511,37094,46576897
0.000246571,Spain,Portugal,156062,10573100,46576897
8.88E-05,Spain,FrenchEurope,307955,76430051,46576897
1.31E-06,Spain,PersianMiddleEast,5871,103370678,46576897
6.03E-05,Spain,NordicCountries,99055,32071316,46576897
6.06E-08,Spain,Tajikistan,29,7641630,46576897
0.000118584,Spain,Caribbean,240132,40878080,46576897
5.21E-06,Spain,AustrailiaNewZealand,7243,26382450,46576897
8.50E-05,Spain,GermanEurope,417617,114616640,46576897
3.72E-07,Spain,RussianAsia,979,55419091,46576897
1.13E-06,Spain,TurkishMiddleEast,5050,103089615,46576897
1.68E-05,Spain,CentralAmerica,110117,160556595,46576897
0.000114956,Spain,EasternEurope,1267630,293323902,46576897
0.000267308,Spain,SpanishSouthAmerica,2104509,198246902,46576897
6.47E-07,Spain,EastAfrica,7538,312744208,46576897
1.55E-05,Spain,FrenchWestAfrica,176125,304167444,46576897
